platform_item_id,market_hash_name,observed_at,sell_price_cny,sell_count,bid_price_cny,bid_count
747,Galil AR | Chatterbox (Well-Worn),2026-04-06 20:38:57.428203,858.0,57,824.0,13
844,Galil AR | Cold Fusion (Factory New),2026-04-06 17:34:42.048008,6.94,1366,6.8,37
50550,Galil AR | Cold Fusion (Well-Worn),2026-04-06 17:36:42.899410,0.25,27,0.2,8
48870,Galil AR | Connexion (Well-Worn),2026-04-06 18:17:42.319285,3.53,33,3.1,10
201,Galil AR | Crimson Tsunami (Factory New),2026-04-06 17:04:42.865716,124.88,561,122.0,74
34695,Galil AR | Crimson Tsunami (Field-Tested),2026-04-06 17:03:42.832254,12.48,97,11.4,16
1231,Galil AR | Crimson Tsunami (Minimal Wear),2026-04-06 17:03:42.832254,24.0,184,22.9,26
47880,Galil AR | Crimson Tsunami (Well-Worn),2026-04-06 17:04:42.865716,20.23,18,18.4,8
49464,Galil AR | Eco (Battle-Scarred),2026-04-06 20:44:22.539544,83.9,30,80.0,9
1220,Galil AR | Eco (Field-Tested),2026-04-06 20:35:42.337316,92.49,1501,92.0,50
45589,Galil AR | Eco (Minimal Wear),2026-04-06 23:06:09.414411,1309.0,303,1290.0,47
3748,Galil AR | Eco (Well-Worn),2026-04-06 20:35:42.337316,88.88,56,87.0,15
50283,Galil AR | Firefight (Battle-Scarred),2026-04-06 16:37:41.571974,8.31,24,7.9,9
45615,Galil AR | Firefight (Factory New),2026-04-06 23:32:09.336617,214.0,236,207.0,57
5924,Galil AR | Firefight (Minimal Wear),2026-04-06 23:32:09.336617,15.1,154,14.2,19
2477,Galil AR | Firefight (Well-Worn),2026-04-06 23:32:09.336617,8.39,28,8.0,11
56904,Galil AR | Hunting Blind (Factory New),2026-04-06 20:58:27.612407,119.0,7,94.0,5
51677,Galil AR | Hunting Blind (Field-Tested),2026-04-06 20:50:52.499073,87.1,9,20.0,2
51222,Galil AR | Hunting Blind (Minimal Wear),2026-04-06 20:55:12.610454,38.0,5,22.3,3
56900,Galil AR | Hunting Blind (Well-Worn),2026-04-06 21:01:42.717314,70.0,3,14.0,3
56797,Galil AR | Kami (Battle-Scarred),2026-04-06 20:51:57.523508,8.99,11,6.2,7
5876,Galil AR | Kami (Factory New),2026-04-06 20:44:22.539544,123.5,363,119.0,58
44690,Galil AR | Kami (Field-Tested),2026-04-06 20:50:52.499073,9.05,71,8.1,12
47013,Galil AR | Kami (Minimal Wear),2026-04-06 20:54:07.550729,19.7,86,17.9,15
56313,Galil AR | Kami (Well-Worn),2026-04-06 23:01:47.928840,14.38,55,13.5,9
103397,Galil AR | Orange DDPAT (Battle-Scarred),2026-04-06 16:43:43.443982,780.0,2,60.0,4
57516,Galil AR | Orange DDPAT (Factory New),2026-04-06 20:57:22.648193,1700.0,7,740.0,5
49958,Galil AR | Orange DDPAT (Field-Tested),2026-04-06 23:07:14.052468,144.3,8,106.0,6
51151,Galil AR | Orange DDPAT (Minimal Wear),2026-04-06 20:46:32.420472,449.99,21,354.0,10
59004,Galil AR | Orange DDPAT (Well-Worn),2026-04-06 23:20:14.105087,150.0,8,77.0,4
45111,Galil AR | Rocket Pop (Battle-Scarred),2026-04-06 20:55:12.610454,4.99,65,4.2,11
2213,Galil AR | Rocket Pop (Factory New),2026-04-06 20:55:12.610454,129.48,351,127.0,69
1999,Galil AR | Rocket Pop (Field-Tested),2026-04-06 20:37:52.478664,7.87,206,7.2,19
2609,Galil AR | Rocket Pop (Minimal Wear),2026-04-06 20:53:02.488690,19.9,347,19.4,43
47108,Galil AR | Rocket Pop (Well-Worn),2026-04-06 20:43:17.467436,5.14,48,4.4,16
152,Galil AR | Sage Spray (Battle-Scarred),2026-04-06 20:43:17.467436,0.08,36,0.03,5
45061,Galil AR | Sage Spray (Factory New),2026-04-06 23:08:19.069511,44.98,270,42.5,27
23,Galil AR | Sage Spray (Field-Tested),2026-04-06 20:43:17.467436,0.06,212,0.04,16
2762,Galil AR | Sage Spray (Minimal Wear),2026-04-06 20:50:52.499073,0.38,124,0.25,12
47631,Galil AR | Sage Spray (Well-Worn),2026-04-06 20:51:57.523508,0.06,60,0.04,7
55809,Galil AR | Sandstorm (Battle-Scarred),2026-04-06 20:55:12.610454,10.99,15,6.8,8
45976,Galil AR | Sandstorm (Field-Tested),2026-04-06 20:46:32.420472,16.97,155,14.8,23
5234,Galil AR | Sandstorm (Minimal Wear),2026-04-06 20:59:32.605741,188.5,234,178.0,53
45952,Galil AR | Sandstorm (Well-Worn),2026-04-06 20:58:27.612407,25.0,10,9.3,10
55914,Galil AR | Shattered (Battle-Scarred),2026-04-06 23:18:04.543946,35.71,40,32.1,6
52329,Galil AR | Shattered (Field-Tested),2026-04-06 20:59:32.605741,47.0,15,37.3,9
52139,Galil AR | Shattered (Minimal Wear),2026-04-06 20:45:27.525679,96.8,15,83.0,8
51319,Galil AR | Shattered (Well-Worn),2026-04-06 20:46:32.420472,40.0,12,35.8,7
47281,Galil AR | Signal (Battle-Scarred),2026-04-06 17:38:42.032204,5.0,22,4.3,9
628,Galil AR | Signal (Factory New),2026-04-06 17:38:42.032204,39.89,563,37.2,50
2479,Galil AR | Signal (Field-Tested),2026-04-06 17:38:42.032204,4.4,136,4.0,22
36902,Galil AR | Signal (Minimal Wear),2026-04-06 17:38:42.032204,8.44,217,7.7,25
46511,Galil AR | Signal (Well-Worn),2026-04-06 17:39:42.080123,6.08,21,5.2,7
50768,Galil AR | Stone Cold (Battle-Scarred),2026-04-06 20:44:22.539544,14.71,35,13.2,10
45028,Galil AR | Stone Cold (Factory New),2026-04-06 23:06:09.414411,319.5,339,306.0,57
2421,Galil AR | Stone Cold (Field-Tested),2026-04-06 20:36:47.340927,17.2,186,16.4,23
1651,Galil AR | Stone Cold (Minimal Wear),2026-04-06 20:35:42.337316,35.69,299,33.6,25
48412,Galil AR | Stone Cold (Well-Worn),2026-04-06 20:45:27.525679,14.79,36,13.5,14
50036,Galil AR | Sugar Rush (Battle-Scarred),2026-04-06 17:07:41.668767,888.88,2,377.0,2
1974,Galil AR | Sugar Rush (Factory New),2026-04-06 17:07:41.668767,2143.94,248,2100.0,54
46539,Galil AR | Sugar Rush (Field-Tested),2026-04-06 17:07:41.668767,434.99,39,411.0,10
36838,Galil AR | Sugar Rush (Minimal Wear),2026-04-06 17:07:41.668767,635.25,145,608.0,13
49490,Galil AR | Tornado (Battle-Scarred),2026-04-06 17:59:42.073919,57.8,9,50.0,3
1816,Galil AR | Tornado (Field-Tested),2026-04-06 17:59:42.073919,68.0,19,62.0,5
46803,Galil AR | Tornado (Well-Worn),2026-04-06 17:59:42.073919,84.96,13,50.0,4
