platform_item_id,market_hash_name,observed_at,sell_price_cny,sell_count,bid_price_cny,bid_count
,★ Butterfly Knife | Black Laminate (Field-Tested),2026-04-06 18:56:42.646547,0.0,0,0.0,0
,★ Butterfly Knife | Black Laminate (Minimal Wear),2026-04-06 18:55:42.892193,0.0,0,0.0,0
,★ Butterfly Knife | Black Laminate (Well-Worn),2026-04-06 18:55:42.892193,0.0,0,0.0,0
,★ Butterfly Knife | Blue Steel (Battle-Scarred),2026-04-06 23:12:39.131020,0.0,0,0.0,0
,★ Butterfly Knife | Blue Steel (Field-Tested),2026-04-06 20:57:22.648193,0.0,0,0.0,0
,★ Butterfly Knife | Blue Steel (Minimal Wear),2026-04-06 23:21:19.247592,0.0,0,0.0,0
,★ Butterfly Knife | Blue Steel (Well-Worn),2026-04-06 23:25:39.157097,0.0,0,0.0,0
,★ Butterfly Knife | Bright Water (Battle-Scarred),2026-04-06 18:55:42.892193,0.0,0,0.0,0
,★ Butterfly Knife | Bright Water (Factory New),2026-04-06 18:56:42.646547,0.0,0,0.0,0
,★ Butterfly Knife | Bright Water (Minimal Wear),2026-04-06 18:55:42.892193,0.0,0,0.0,0
,★ Butterfly Knife | Case Hardened (Battle-Scarred),2026-04-06 23:26:44.368006,0.0,0,0.0,0
,★ Butterfly Knife | Case Hardened (Field-Tested),2026-04-06 20:49:47.578142,0.0,0,0.0,0
,★ Butterfly Knife | Case Hardened (Minimal Wear),2026-04-06 23:09:24.152153,0.0,0,0.0,0
,★ Butterfly Knife | Case Hardened (Well-Worn),2026-04-06 23:26:44.368006,0.0,0,0.0,0
,★ Butterfly Knife | Crimson Web (Battle-Scarred),2026-04-06 23:19:09.225198,0.0,0,0.0,0
,★ Butterfly Knife | Crimson Web (Field-Tested),2026-04-06 20:51:57.523508,0.0,0,0.0,0
,★ Butterfly Knife | Crimson Web (Well-Worn),2026-04-06 23:19:09.225198,0.0,0,0.0,0
,★ Butterfly Knife | Freehand (Battle-Scarred),2026-04-06 18:57:42.744089,0.0,0,0.0,0
,★ Butterfly Knife | Freehand (Factory New),2026-04-06 18:55:42.892193,0.0,0,0.0,0
,★ Butterfly Knife | Freehand (Field-Tested),2026-04-06 18:55:42.892193,0.0,0,0.0,0
,★ Butterfly Knife | Freehand (Well-Worn),2026-04-06 18:57:42.744089,0.0,0,0.0,0
,★ Butterfly Knife | Lore (Well-Worn),2026-04-06 18:55:42.892193,0.0,0,0.0,0
,★ Butterfly Knife | Night (Minimal Wear),2026-04-06 23:03:59.118314,0.0,0,0.0,0
,★ Butterfly Knife | Slaughter (Field-Tested),2026-04-06 23:19:09.225198,0.0,0,0.0,0
,★ Butterfly Knife | Stained (Field-Tested),2026-04-06 21:00:37.712848,0.0,0,0.0,0
,★ Butterfly Knife | Stained (Minimal Wear),2026-04-06 23:15:54.144812,0.0,0,0.0,0
,★ Butterfly Knife | Stained (Well-Worn),2026-04-06 23:22:24.277255,0.0,0,0.0,0
,★ Butterfly Knife | Ultraviolet (Field-Tested),2026-04-06 17:04:42.865716,0.0,0,0.0,0
,★ Butterfly Knife | Ultraviolet (Minimal Wear),2026-04-06 17:04:42.865716,0.0,0,0.0,0
,★ Butterfly Knife | Urban Masked (Minimal Wear),2026-04-06 23:14:49.035998,0.0,0,0.0,0
,★ Driver Gloves | Diamondback (Field-Tested),2026-04-06 16:58:41.612927,0.0,0,0.0,0
,★ Driver Gloves | Lunar Weave (Field-Tested),2026-04-06 16:58:41.612927,0.0,0,0.0,0
