platform_item_id,market_hash_name,observed_at,sell_price_cny,sell_count,bid_price_cny,bid_count
553478524,Sticker | ropz (Foil) | London 2018,2026-04-06 17:29:41.995543,22248.16,2,0.0,0
809194502093930496,USP-S | Target Acquired (Factory New),2026-04-06 18:37:42.335062,5124.01,25,0.0,0
915080206284234752,★ Butterfly Knife | Autotronic (Battle-Scarred),2026-04-06 18:55:42.892193,5510.8,14,0.0,0
915167611585331200,★ Butterfly Knife | Autotronic (Field-Tested),2026-04-06 18:55:42.892193,6898.27,138,0.0,0
916249226537385984,★ Butterfly Knife | Black Laminate (Battle-Scarred),2026-04-06 18:56:42.646547,4634.25,22,0.0,0
916811326848704512,★ Butterfly Knife | Black Laminate (Field-Tested),2026-04-06 18:56:42.646547,5252.27,57,0.0,0
915087871968735232,★ Butterfly Knife | Black Laminate (Minimal Wear),2026-04-06 18:55:42.892193,5488.13,34,0.0,0
915321388631506944,★ Butterfly Knife | Black Laminate (Well-Worn),2026-04-06 18:55:42.892193,4859.28,30,0.0,0
26046,★ Butterfly Knife | Blue Steel (Battle-Scarred),2026-04-06 23:12:39.131020,5787.94,10,0.0,0
24467,★ Butterfly Knife | Blue Steel (Field-Tested),2026-04-06 20:57:22.648193,6262.74,41,0.0,0
26926,★ Butterfly Knife | Blue Steel (Minimal Wear),2026-04-06 23:21:19.247592,6697.43,14,0.0,0
27256,★ Butterfly Knife | Blue Steel (Well-Worn),2026-04-06 23:25:39.157097,5870.85,27,0.0,0
915813251249487872,★ Butterfly Knife | Bright Water (Battle-Scarred),2026-04-06 18:55:42.892193,4021.74,3,0.0,0
917263022873047040,★ Butterfly Knife | Bright Water (Factory New),2026-04-06 18:56:42.646547,4961.77,30,0.0,0
915095348686757888,★ Butterfly Knife | Bright Water (Minimal Wear),2026-04-06 18:55:42.892193,4531.63,34,0.0,0
27410,★ Butterfly Knife | Case Hardened (Battle-Scarred),2026-04-06 23:26:44.368006,4787.81,7,0.0,0
23722,★ Butterfly Knife | Case Hardened (Field-Tested),2026-04-06 20:49:47.578142,5343.94,50,0.0,0
25794,★ Butterfly Knife | Case Hardened (Minimal Wear),2026-04-06 23:09:24.152153,6579.99,30,0.0,0
27366,★ Butterfly Knife | Case Hardened (Well-Worn),2026-04-06 23:26:44.368006,4922.14,15,0.0,0
26742,★ Butterfly Knife | Crimson Web (Battle-Scarred),2026-04-06 23:19:09.225198,4325.21,11,0.0,0
24005,★ Butterfly Knife | Crimson Web (Field-Tested),2026-04-06 20:51:57.523508,5356.28,24,0.0,0
26703,★ Butterfly Knife | Crimson Web (Well-Worn),2026-04-06 23:19:09.225198,5140.07,1,0.0,0
920507410682155008,★ Butterfly Knife | Freehand (Battle-Scarred),2026-04-06 18:57:42.744089,5595.3,1,0.0,0
915145079265828864,★ Butterfly Knife | Freehand (Factory New),2026-04-06 18:55:42.892193,5510.32,38,0.0,0
915360594005286912,★ Butterfly Knife | Freehand (Field-Tested),2026-04-06 18:55:42.892193,4578.63,61,0.0,0
919923713335316480,★ Butterfly Knife | Freehand (Well-Worn),2026-04-06 18:57:42.744089,4372.07,6,0.0,0
915186829395279872,★ Butterfly Knife | Lore (Well-Worn),2026-04-06 18:55:42.892193,4443.2,19,0.0,0
25286,★ Butterfly Knife | Night (Minimal Wear),2026-04-06 23:03:59.118314,5129.73,13,0.0,0
26704,★ Butterfly Knife | Slaughter (Field-Tested),2026-04-06 23:19:09.225198,9062.42,6,0.0,0
24789,★ Butterfly Knife | Stained (Field-Tested),2026-04-06 21:00:37.712848,4552.37,25,0.0,0
26411,★ Butterfly Knife | Stained (Minimal Wear),2026-04-06 23:15:54.144812,4944.26,21,0.0,0
26956,★ Butterfly Knife | Stained (Well-Worn),2026-04-06 23:22:24.277255,4377.79,9,0.0,0
553370939,★ Butterfly Knife | Ultraviolet (Field-Tested),2026-04-06 17:04:42.865716,4583.8,49,0.0,0
