platform_item_id,market_hash_name,observed_at,sell_price_cny,sell_count,bid_price_cny,bid_count
26669,StatTrak™ P250 | Undertow (Factory New),2026-04-06 23:19:09.225198,413.65,19,,
26274,StatTrak™ P250 | Undertow (Field-Tested),2026-04-06 23:14:49.035998,387.32,5,292.0,6
25478,StatTrak™ P250 | Undertow (Minimal Wear),2026-04-06 23:06:09.414411,379.29,9,,
24181,StatTrak™ P250 | Valence (Battle-Scarred),2026-04-06 20:54:07.550729,2.36,127,,
25523,StatTrak™ P250 | Valence (Factory New),2026-04-06 23:06:09.414411,30.14,14,15.5,5
22671,StatTrak™ P250 | Valence (Field-Tested),2026-04-06 20:37:52.478664,3.11,111,2.6,8
22442,StatTrak™ P250 | Valence (Minimal Wear),2026-04-06 20:35:42.337316,8.92,115,6.5,8
23567,StatTrak™ P250 | Valence (Well-Worn),2026-04-06 20:47:37.761074,8.24,26,6.2,9
553482425,StatTrak™ P250 | Verdigris (Battle-Scarred),2026-04-06 17:45:46.830591,4.71,43,4.1,8
553482426,StatTrak™ P250 | Verdigris (Factory New),2026-04-06 17:45:46.830591,17.12,12,7.6,4
553482423,StatTrak™ P250 | Verdigris (Field-Tested),2026-04-06 17:45:46.830591,2.47,45,2.4,5
553482422,StatTrak™ P250 | Verdigris (Minimal Wear),2026-04-06 17:45:46.830591,5.05,55,3.1,9
553482424,StatTrak™ P250 | Verdigris (Well-Worn),2026-04-06 17:45:46.830591,3.55,29,,
24411,StatTrak™ P250 | Wingshot (Battle-Scarred),2026-04-06 20:56:17.623564,23.74,47,18.4,10
24431,StatTrak™ P250 | Wingshot (Factory New),2026-04-06 20:57:22.648193,116.0,15,86.0,3
22760,StatTrak™ P250 | Wingshot (Field-Tested),2026-04-06 20:38:57.428203,25.69,17,19.0,6
24683,StatTrak™ P250 | Wingshot (Minimal Wear),2026-04-06 20:59:32.605741,50.56,21,40.0,13
23985,StatTrak™ P250 | Wingshot (Well-Worn),2026-04-06 20:51:57.523508,23.75,29,,
25608,StatTrak™ P90 | Asiimov (Battle-Scarred),2026-04-06 23:07:14.052468,1166.77,17,,
27189,StatTrak™ P90 | Asiimov (Factory New),2026-04-06 23:24:34.181982,1992.55,8,1520.0,4
24843,StatTrak™ P90 | Asiimov (Field-Tested),2026-04-06 21:01:42.717314,1190.14,15,971.0,2
24335,StatTrak™ P90 | Asiimov (Minimal Wear),2026-04-06 20:56:17.623564,1349.22,10,1250.0,2
26502,StatTrak™ P90 | Asiimov (Well-Worn),2026-04-06 23:16:59.160652,1157.02,7,,
23798,StatTrak™ P90 | Blind Spot (Battle-Scarred),2026-04-06 20:49:47.578142,87.62,4,,
22524,StatTrak™ P90 | Blind Spot (Factory New),2026-04-06 20:36:47.340927,107.17,6,71.0,2
25529,StatTrak™ P90 | Blind Spot (Field-Tested),2026-04-06 23:06:09.414411,69.77,15,37.0,2
24388,StatTrak™ P90 | Blind Spot (Minimal Wear),2026-04-06 20:56:17.623564,94.0,10,41.0,2
24915,StatTrak™ P90 | Blind Spot (Well-Worn),2026-04-06 21:01:42.717314,84.11,3,,
32903575,StatTrak™ P90 | Chopper (Field-Tested),2026-04-06 16:41:42.307518,12.14,144,9.6,2
3032273,StatTrak™ P90 | Chopper (Well-Worn),2026-04-06 16:37:41.571974,21.73,11,,
23480,StatTrak™ P90 | Cold Blooded (Factory New),2026-04-06 20:46:32.420472,606.9,11,503.0,11
553427504,StatTrak™ P90 | Death Grip (Battle-Scarred),2026-04-06 17:07:41.668767,103.9,30,,
553433607,StatTrak™ P90 | Death Grip (Factory New),2026-04-06 17:08:42.045924,433.89,2,,
553427552,StatTrak™ P90 | Death Grip (Field-Tested),2026-04-06 17:07:41.668767,125.49,10,86.0,1
553427550,StatTrak™ P90 | Death Grip (Minimal Wear),2026-04-06 17:07:41.668767,169.55,7,,
24480,StatTrak™ P90 | Death by Kitty (Field-Tested),2026-04-06 20:57:22.648193,1250.0,3,,
25574,StatTrak™ P90 | Death by Kitty (Minimal Wear),2026-04-06 23:07:14.052468,1994.0,4,1210.0,1
25233,StatTrak™ P90 | Desert Warfare (Factory New),2026-04-06 23:02:54.090874,84.73,13,,
25331,StatTrak™ P90 | Desert Warfare (Field-Tested),2026-04-06 23:03:59.118314,23.79,13,,
27030,StatTrak™ P90 | Desert Warfare (Minimal Wear),2026-04-06 23:22:24.277255,35.11,8,,
23352,StatTrak™ P90 | Elite Build (Battle-Scarred),2026-04-06 20:45:27.525679,2.62,31,,
24452,StatTrak™ P90 | Elite Build (Factory New),2026-04-06 20:57:22.648193,38.45,16,29.9,2
22635,StatTrak™ P90 | Elite Build (Field-Tested),2026-04-06 20:37:52.478664,3.13,39,2.6,8
23341,StatTrak™ P90 | Elite Build (Minimal Wear),2026-04-06 20:45:27.525679,5.96,56,4.7,12
23381,StatTrak™ P90 | Elite Build (Well-Worn),2026-04-06 20:45:27.525679,2.39,46,2.0,6
25840,StatTrak™ P90 | Emerald Dragon (Minimal Wear),2026-04-06 23:09:24.152153,2999.0,1,1550.0,8
553491704,StatTrak™ P90 | Freight (Minimal Wear),2026-04-06 18:17:42.319285,1.4,90,0.9,102
553491693,StatTrak™ P90 | Freight (Well-Worn),2026-04-06 18:17:42.319285,0.81,43,0.49,228
65018531,StatTrak™ P90 | Grim (Minimal Wear),2026-04-06 16:43:43.443982,3.79,83,3.3,9
23098,StatTrak™ P90 | Module (Factory New),2026-04-06 20:42:12.375446,24.63,36,,
23097,StatTrak™ P90 | Module (Field-Tested),2026-04-06 20:42:12.375446,10.16,32,7.9,10
22617,StatTrak™ P90 | Module (Minimal Wear),2026-04-06 20:37:52.478664,12.68,36,10.5,11
553485933,StatTrak™ P90 | Nostalgia (Factory New),2026-04-06 17:55:42.194836,199.3,9,231.0,4
553485853,StatTrak™ P90 | Nostalgia (Field-Tested),2026-04-06 17:55:42.194836,79.4,46,68.0,12
553485929,StatTrak™ P90 | Nostalgia (Minimal Wear),2026-04-06 17:55:42.194836,97.84,23,,
553482430,StatTrak™ P90 | Off World (Minimal Wear),2026-04-06 17:45:46.830591,5.19,33,3.8,21
553482823,StatTrak™ P90 | Off World (Well-Worn),2026-04-06 17:47:41.993787,3.75,13,2.3,20
333922053,StatTrak™ P90 | Shallow Grave (Factory New),2026-04-06 16:58:41.612927,241.32,7,150.0,5
291714270,StatTrak™ P90 | Shallow Grave (Field-Tested),2026-04-06 16:56:42.757966,68.0,27,52.0,7
342124885,StatTrak™ P90 | Shallow Grave (Minimal Wear),2026-04-06 16:58:41.612927,109.22,15,100.0,4
