local_item_id,market_hash_name,chinese_name,tier,enabled
5630,MP9 | Bioleak (Well-Worn),MP9 | 生化泄漏 (破损不堪),2,1
5631,R8 Revolver | Reboot (Field-Tested),R8左轮手枪 | 重新启动 (久经沙场),2,1
5632,StatTrak™ MAC-10 | Carnivore (Field-Tested),MAC-10（StatTrak™） | 捕猎者 (久经沙场),2,1
5633,SG 553 | Aerial (Minimal Wear),SG 553 | 轻空 (略有磨损),2,1
5634,M249 | Spectre (Factory New),M249 | 鬼影 (崭新出厂),2,1
5635,M4A1-S | Mecha Industries (Field-Tested),M4A1消音版 | 机械工业 (久经沙场),2,1
5638,M4A4 | Desolate Space (Well-Worn),M4A4 | 死寂空间 (破损不堪),2,1
5639,Sawed-Off | Limelight (Battle-Scarred),截短霰弹枪 | 聚光灯 (战痕累累),2,1
5640,P2000 | Oceanic (Well-Worn),P2000 | 海洋 (破损不堪),2,1
5641,StatTrak™ Five-SeveN | Violent Daimyo (Well-Worn),FN57（StatTrak™） | 霸意大名 (破损不堪),2,1
5642,★ StatTrak™ Flip Knife | Fade (Factory New),折叠刀（★ StatTrak™） | 渐变之色 (崭新出厂),2,1
5644,StatTrak™ P250 | Iron Clad (Battle-Scarred),P250（StatTrak™） | 铠甲 (战痕累累),2,1
5646,PP-Bizon | Harvester (Factory New),PP-野牛 | 收割机 (崭新出厂),2,1
5647,MAC-10 | Carnivore (Minimal Wear),MAC-10 | 捕猎者 (略有磨损),2,1
5649,Five-SeveN | Violent Daimyo (Factory New),FN57 | 霸意大名 (崭新出厂),2,1
5650,AWP | Phobos (Field-Tested),AWP | 火卫一 (久经沙场),2,1
5651,Souvenir AWP | Pink DDPAT (Minimal Wear),AWP（纪念品） | 粉红 DDPAT (略有磨损),2,1
5652,M4A1-S | Chantico's Fire (Well-Worn),M4A1消音版 | 女火神之炽焰 (破损不堪),2,1
5653,P2000 | Imperial Dragon (Factory New),P2000 | 至尊威龙 (崭新出厂),2,1
5654,★ StatTrak™ M9 Bayonet | Tiger Tooth (Factory New),M9 刺刀（★ StatTrak™） | 虎牙 (崭新出厂),2,1
5657,SCAR-20 | Bloodsport (Factory New),SCAR-20 | 血腥运动 (崭新出厂),2,1
5658,Sticker | friberg (Foil) | Cologne 2016,印花 | friberg（闪亮）| 2016年科隆锦标赛,2,1
5659,SCAR-20 | Bloodsport (Field-Tested),SCAR-20 | 血腥运动 (久经沙场),2,1
5660,MP9 | Bioleak (Minimal Wear),MP9 | 生化泄漏 (略有磨损),2,1
5661,Sticker | karrigan (Foil) | Cologne 2016,印花 | karrigan（闪亮）| 2016年科隆锦标赛,2,1
5662,Sticker | pyth (Foil) | Cologne 2016,印花 | pyth（闪亮）| 2016年科隆锦标赛,2,1
5663,StatTrak™ R8 Revolver | Reboot (Well-Worn),R8左轮手枪（StatTrak™） | 重新启动 (破损不堪),2,1
5665,★ Bowie Knife | Stained (Well-Worn),鲍伊猎刀（★） | 人工染色 (破损不堪),2,1
5670,Italy Pin,意大利小镇胸章,2,1
5671,UMP-45 | Primal Saber (Minimal Wear),UMP-45 | 野蛮剑齿虎 (略有磨损),2,1
5674,Train Pin,列车停放站胸章,2,1
5675,P250 | Asiimov (Minimal Wear),P250 | 二西莫夫 (略有磨损),2,1
5677,Sticker | Natus Vincere | Cologne 2016,印花 | Natus Vincere | 2016年科隆锦标赛,2,1
5678,Sticker | Fnatic | Cologne 2016,印花 | Fnatic | 2016年科隆锦标赛,2,1
5679,Souvenir M4A4 | Tornado (Factory New),M4A4（纪念品） | 狂哮飓风 (崭新出厂),2,1
5680,StatTrak™ Desert Eagle | Heirloom (Factory New),沙漠之鹰（StatTrak™） | 遗产 (崭新出厂),2,1
5681,M249 | Spectre (Well-Worn),M249 | 鬼影 (破损不堪),2,1
5683,Nuke Pin,核子危机胸章,2,1
5684,StatTrak™ CZ75-Auto | Red Astor (Well-Worn),CZ75自动型（StatTrak™） | 红鹰 (破损不堪),2,1
5685,MP9 | Bioleak (Battle-Scarred),MP9 | 生化泄漏 (战痕累累),2,1
5686,StatTrak™ Sawed-Off | Fubar (Battle-Scarred),截短霰弹枪（StatTrak™） | 破铜烂铁 (战痕累累),2,1
5687,StatTrak™ Galil AR | Firefight (Minimal Wear),加利尔AR（StatTrak™） | 火线冲锋 (略有磨损),2,1
5688,Sticker | seized | Cologne 2016,印花 | seized | 2016年科隆锦标赛,2,1
5689,Sticker | flamie | Cologne 2016,印花 | flamie | 2016年科隆锦标赛,2,1
5690,Sticker | Edward | Cologne 2016,印花 | Edward | 2016年科隆锦标赛,2,1
5691,Sticker | EliGE | Cologne 2016,印花 | EliGE | 2016年科隆锦标赛,2,1
5693,Sticker | GuardiaN | Cologne 2016,印花 | GuardiaN | 2016年科隆锦标赛,2,1
5694,Sticker | Zeus | Cologne 2016,印花 | Zeus | 2016年科隆锦标赛,2,1
5695,Sticker | SK Gaming | Cologne 2016,印花 | SK Gaming | 2016年科隆锦标赛,2,1
5696,P250 | Iron Clad (Well-Worn),P250 | 铠甲 (破损不堪),2,1
5697,P250 | Asiimov (Field-Tested),P250 | 二西莫夫 (久经沙场),2,1
5699,Sawed-Off | Copper (Factory New),截短霰弹枪 | 镀铜 (崭新出厂),2,1
5700,Sticker | rain (Foil) | MLG Columbus 2016,印花 | rain（闪亮）| 2016年 MLG 哥伦布锦标赛,2,1
5701,Galil AR | Winter Forest (Battle-Scarred),加利尔AR | 冬之森林 (战痕累累),2,1
5702,P250 | Iron Clad (Battle-Scarred),P250 | 铠甲 (战痕累累),2,1
5703,SSG 08 | Ghost Crusader (Battle-Scarred),SSG 08 | 幽灵战士 (战痕累累),2,1
5704,Cologne 2016 Cobblestone Souvenir Package,2016年科隆锦标赛古堡激战纪念包,2,1
5707,Sticker | G2 Esports | Cologne 2016,印花 | G2 Esports | 2016年科隆锦标赛,2,1
5709,Sticker | Natus Vincere (Holo) | Cologne 2016,印花 | Natus Vincere（全息）| 2016年科隆锦标赛,2,1
5710,Sticker | OpTic Gaming (Holo) | Cologne 2016,印花 | OpTic Gaming（全息）| 2016年科隆锦标赛,2,1
5711,Sticker | Flipsid3 Tactics (Holo) | Cologne 2016,印花 | Flipsid3 Tactics（全息）| 2016年科隆锦标赛,2,1
5712,Sticker | Team Liquid (Holo) | Cologne 2016,印花 | Team Liquid（全息）| 2016年科隆锦标赛,2,1
5713,Sticker | Counter Logic Gaming (Holo) | Cologne 2016,印花 | Counter Logic Gaming（全息）| 2016年科隆锦标赛,2,1
5714,StatTrak™ Desert Eagle | Kumicho Dragon (Field-Tested),沙漠之鹰（StatTrak™） | 大佬龙 (久经沙场),2,1
5716,StatTrak™ SG 553 | Atlas (Field-Tested),SG 553（StatTrak™） | 擎天神 (久经沙场),2,1
5717,StatTrak™ CZ75-Auto | Red Astor (Field-Tested),CZ75自动型（StatTrak™） | 红鹰 (久经沙场),2,1
5718,Mirage Pin,荒漠迷城胸章,2,1
5719,Militia Pin,佣兵训练营胸章,2,1
5720,Cologne 2016 Mirage Souvenir Package,2016年科隆锦标赛荒漠迷城纪念包,2,1
5721,StatTrak™ Negev | Power Loader (Battle-Scarred),内格夫（StatTrak™） | 动力装载机 (战痕累累),2,1
5722,StatTrak™ SG 553 | Atlas (Minimal Wear),SG 553（StatTrak™） | 擎天神 (略有磨损),2,1
5723,StatTrak™ AUG | Fleet Flock (Well-Worn),AUG（StatTrak™） | 燕群 (破损不堪),2,1
5724,Sticker | OpTic Gaming (Foil) | Cologne 2016,印花 | OpTic Gaming（闪亮）| 2016年科隆锦标赛,2,1
5725,Sticker | Team Dignitas (Holo) | Cologne 2016,印花 | Team Dignitas（全息）| 2016年科隆锦标赛,2,1
5727,AUG | Fleet Flock (Well-Worn),AUG | 燕群 (破损不堪),2,1
5728,Sticker | JW | Cologne 2016,印花 | JW | 2016年科隆锦标赛,2,1
5730,StatTrak™ PP-Bizon | Harvester (Minimal Wear),PP-野牛（StatTrak™） | 收割机 (略有磨损),2,1
5731,Sticker | KRIMZ | Cologne 2016,印花 | KRIMZ | 2016年科隆锦标赛,2,1
5733,Sticker | shox | Cologne 2016,印花 | shox | 2016年科隆锦标赛,2,1
5734,Sticker | flusha | Cologne 2016,印花 | flusha | 2016年科隆锦标赛,2,1
5735,Guardian Pin,守护者胸章,2,1
5736,Dust II Pin,炙热沙城 II 胸章,2,1
5737,SG 553 | Atlas (Battle-Scarred),SG 553 | 擎天神 (战痕累累),2,1
5738,XM1014 | Black Tie (Factory New),XM1014 | 西装革履 (崭新出厂),2,1
5739,StatTrak™ SSG 08 | Ghost Crusader (Well-Worn),SSG 08（StatTrak™） | 幽灵战士 (破损不堪),2,1
5740,Victory Pin,胜利胸章,2,1
5741,StatTrak™ XM1014 | Black Tie (Minimal Wear),XM1014（StatTrak™） | 西装革履 (略有磨损),2,1
5743,StatTrak™ P2000 | Oceanic (Minimal Wear),P2000（StatTrak™） | 海洋 (略有磨损),2,1
5744,M4A4 | The Battlestar (Battle-Scarred),M4A4 | 战场之星 (战痕累累),2,1
5746,StatTrak™ AUG | Aristocrat (Field-Tested),AUG（StatTrak™） | 贵族 (久经沙场),2,1
5748,M249 | Spectre (Battle-Scarred),M249 | 鬼影 (战痕累累),2,1
5749,Sticker | Maikelele (Foil) | MLG Columbus 2016,印花 | Maikelele（闪亮）| 2016年 MLG 哥伦布锦标赛,2,1
5750,Sticker | wayLander (Foil) | MLG Columbus 2016,印花 | wayLander（闪亮）| 2016年 MLG 哥伦布锦标赛,2,1
5751,Sticker | TaZ (Foil) | MLG Columbus 2016,印花 | TaZ（闪亮）| 2016年 MLG 哥伦布锦标赛,2,1
5752,Sticker | pyth | Cologne 2016,印花 | pyth | 2016年科隆锦标赛,2,1
5753,Sticker | olofmeister | Cologne 2016,印花 | olofmeister | 2016年科隆锦标赛,2,1
5754,Sticker | Spiidi | Cologne 2016,印花 | Spiidi | 2016年科隆锦标赛,2,1
5755,Sticker | Xizt | Cologne 2016,印花 | Xizt | 2016年科隆锦标赛,2,1
5756,Sticker | dupreeh | Cologne 2016,印花 | dupreeh | 2016年科隆锦标赛,2,1
5757,Sticker | dennis | Cologne 2016,印花 | dennis | 2016年科隆锦标赛,2,1
5758,Sticker | friberg | Cologne 2016,印花 | friberg | 2016年科隆锦标赛,2,1
5759,Sticker | s1mple | Cologne 2016,印花 | s1mple | 2016年科隆锦标赛,2,1
5760,StatTrak™ R8 Revolver | Fade (Factory New),R8左轮手枪（StatTrak™） | 渐变之色 (崭新出厂),2,1
5761,Sticker | jdm64 | Cologne 2016,印花 | jdm64 | 2016年科隆锦标赛,2,1
5762,Sticker | chrisJ | Cologne 2016,印花 | chrisJ | 2016年科隆锦标赛,2,1
5763,Sticker | fer | Cologne 2016,印花 | fer | 2016年科隆锦标赛,2,1
5764,Sticker | TACO | Cologne 2016,印花 | TACO | 2016年科隆锦标赛,2,1
5765,StatTrak™ Dual Berettas | Ventilators (Minimal Wear),双持贝瑞塔（StatTrak™） | 通风机 (略有磨损),2,1
5766,StatTrak™ G3SG1 | Orange Crash (Factory New),G3SG1（StatTrak™） | 橙光冲击 (崭新出厂),2,1
5768,Sticker | Zeus (Foil) | Cologne 2016,印花 | Zeus（闪亮）| 2016年科隆锦标赛,2,1
5769,Sticker | FaZe Clan (Holo) | Cologne 2016,印花 | FaZe Clan（全息）| 2016年科隆锦标赛,2,1
5770,Sticker | kennyS | Cologne 2016,印花 | kennyS | 2016年科隆锦标赛,2,1
5771,Sticker | GuardiaN (Foil) | Cologne 2016,印花 | GuardiaN（闪亮）| 2016年科隆锦标赛,2,1
5772,StatTrak™ Tec-9 | Ice Cap (Field-Tested),Tec-9（StatTrak™） | 冰冠 (久经沙场),2,1
5774,★ Bowie Knife | Case Hardened (Field-Tested),鲍伊猎刀（★） | 表面淬火 (久经沙场),2,1
5775,Sticker | Astralis (Holo) | Cologne 2016,印花 | Astralis（全息）| 2016年科隆锦标赛,2,1
5776,Sticker | ESL (Foil) | Cologne 2016,印花 | ESL（闪亮）| 2016年科隆锦标赛,2,1
5777,Sticker | Fnatic (Holo) | Cologne 2016,印花 | Fnatic（全息）| 2016年科隆锦标赛,2,1
