local_item_id,platform,platform_item_id
10207,C5,553463792
10207,BUFF,41009
10207,HALOSKINS,553463792
3454,YOUPIN,43535
3454,C5,25794
3454,BUFF,42544
3454,HALOSKINS,25794
4561,YOUPIN,52805
4561,C5,26915
4561,BUFF,43128
4561,HALOSKINS,26915
4529,YOUPIN,48334
4529,C5,26882
4529,BUFF,35233
4529,HALOSKINS,26882
8647,YOUPIN,3007
8647,C5,553370873
8647,BUFF,42591
8647,HALOSKINS,553370873
6354,YOUPIN,6836
6354,C5,42428103
6354,BUFF,43015
6354,HALOSKINS,42428103
14570,YOUPIN,48906
14570,C5,553487062
14570,BUFF,775913
14570,HALOSKINS,553487062
2429,YOUPIN,47055
2429,C5,24759
2429,BUFF,42973
2429,HALOSKINS,24759
2141,YOUPIN,43591
2141,C5,24467
2141,BUFF,42533
2141,HALOSKINS,24467
4185,YOUPIN,56615
4185,C5,26537
4185,BUFF,40312
4185,HALOSKINS,26537
3599,YOUPIN,45197
3599,C5,25940
3599,BUFF,43052
3599,HALOSKINS,25940
8547,YOUPIN,2574
8547,C5,553370626
8547,BUFF,43156
8547,HALOSKINS,553370626
2521,YOUPIN,34973
2521,C5,24852
2521,BUFF,43110
2521,HALOSKINS,24852
10625,YOUPIN,47079
10625,C5,553466343
10625,BUFF,45440
10625,HALOSKINS,553466343
3456,YOUPIN,47840
3456,C5,25796
3456,BUFF,38231
3456,HALOSKINS,25796
2377,YOUPIN,51893
2377,C5,24707
2377,BUFF,35224
2377,HALOSKINS,24707
4698,YOUPIN,10843
4698,C5,27052
4698,BUFF,42972
4698,HALOSKINS,27052
2159,YOUPIN,31232
2159,C5,24485
2159,BUFF,33896
2159,HALOSKINS,24485
9092,YOUPIN,54739
9092,C5,553434258
9092,BUFF,43408
9092,HALOSKINS,553434258
4901,YOUPIN,12936
4901,C5,27256
4901,BUFF,42535
4901,HALOSKINS,27256
15071,YOUPIN,53626
15071,C5,553487572
15071,BUFF,776694
15071,HALOSKINS,553487572
15212,YOUPIN,52065
15212,C5,553487752
15212,BUFF,776728
15212,HALOSKINS,553487752
18106,YOUPIN,49598
18106,C5,809975959809314816
18106,BUFF,835909
18106,HALOSKINS,809975959809314816
3702,YOUPIN,44500
3702,C5,26046
3702,BUFF,42531
3702,HALOSKINS,26046
7887,YOUPIN,3274
7887,C5,295893119
7887,BUFF,42883
7887,HALOSKINS,295893119
19820,YOUPIN,100354
19820,C5,916252693813313536
19820,BUFF,872105
19820,HALOSKINS,916252693813313536
17754,YOUPIN,45056
17754,C5,808842805052440576
17754,BUFF,835547
17754,HALOSKINS,808842805052440576
475,YOUPIN,43399
475,C5,22787
475,BUFF,34389
475,HALOSKINS,22787
4282,YOUPIN,44984
